Status,Monitor,Total time (ms),Status2,Description,Step Number,Date,Time,Date_Time
Unconfirmed,Leonard,"120,190",7004,Step 11 (Save PDF): 'JE_Test_002' not found.,11,5/1/2019,9:16:00,5/1/2019 9:16
Unconfirmed,Leonard,"120,190",7004,Step 11 (Save PDF): 'JE_Test_002' not found.,11,5/1/2019,9:16:00,5/1/2019 9:16
Unconfirmed,IRIC01,"60,055",7004,Step 11 (Save PDF): 'JE_Test_002' not found.,11,5/1/2019,9:17:00,5/1/2019 9:17
Confirmed,IRIC01,"97,326",7004,Step 11 (Save PDF): 'JE_Test_002' not found.,11,5/1/2019,9:20:00,5/1/2019 9:20
Unconfirmed,Saullic,"89,454",7020,Step 11 (Save PDF): Transaction processing time exceeded 4 minutes,11,5/1/2019,9:25:00,5/1/2019 9:25
Unconfirmed,WhiteUS,"45,676",7004,Step 11 (Save PDF): 'JE_Test_002' not found.,11,5/1/2019,9:31:00,5/1/2019 9:31
Unconfirmed,WhiteUS,"45,676",7004,Step 11 (Save PDF): 'JE_Test_002' not found.,11,5/1/2019,9:31:00,5/1/2019 9:31
Unconfirmed,Relate8,"93,381",7009,Step 9 (Open JE_Test_001): Frame '/Relativity/CustomPages/' not found.,9,5/1/2019,9:34:00,5/1/2019 9:34
Unconfirmed,GREEN,"67,019",7020,Step 9 (Open JE_Test_001): Action for 'JE_Test_001' timed out.,9,5/1/2019,9:46:00,5/1/2019 9:46
Unconfirmed,GREEN,"67,019",7020,Step 9 (Open JE_Test_001): Action for 'JE_Test_001' timed out.,9,5/1/2019,9:46:00,5/1/2019 9:46
Unconfirmed,Vedder,"9,607",7009,Step 7 (Run reset script): Frame 'externalPage' not found.,7,5/1/2019,9:46:00,5/1/2019 9:46
Unconfirmed,Vedder,"9,607",7009,Step 7 (Run reset script): Frame 'externalPage' not found.,7,5/1/2019,9:46:00,5/1/2019 9:46
Unconfirmed,WhiteUS,"54,101",7004,Step 11 (Save PDF): 'JE_Test_002' not found.,11,5/1/2019,9:46:00,5/1/2019 9:46
Unconfirmed,WhiteUS,"54,101",7004,Step 11 (Save PDF): 'JE_Test_002' not found.,11,5/1/2019,9:46:00,5/1/2019 9:46
Unconfirmed,Mandell,"9,403",7020,Step 3 (Enter password): Action for 'Login' timed out.,3,5/1/2019,9:48:00,5/1/2019 9:48
Confirmed,Vedder,"58,974",7020,Step 10 (Code and open next doc): Action for 'Save and next' timed out.,10,5/1/2019,9:49:00,5/1/2019 9:49
Confirmed,Vedder,"58,974",7020,Step 10 (Code and open next doc): Action for 'Save and next' timed out.,10,5/1/2019,9:49:00,5/1/2019 9:49
Unconfirmed,Leonard,"64,829",7004,Step 11 (Save PDF): 'JE_Test_002' not found.,11,5/1/2019,9:53:00,5/1/2019 9:53
Unconfirmed,Leonard,"64,829",7004,Step 11 (Save PDF): 'JE_Test_002' not found.,11,5/1/2019,9:53:00,5/1/2019 9:53
